"Record_number","Study_number","Author","Site_name","YearsOfData","Latitude","Longitude","Elevation","Manipulation","Manipulation_level","Age_ecosystem","Age_disturbance","Species","Biome","Ecosystem_type","Ecosystem_state","MAT","MAP","PET","Study_temp","Study_precip","Meas_method","Meas_interval","Annual_coverage","Partition_method","Rs_annual","Rs_annual_err","Rs_wet","Rs_dry","RC_seasonal","RC_season","Model_type","Temp_effect","Model_output_units","Model_temp_min","Model_temp_max","Model_N","Model_R2","T_depth","Model_paramA","Model_paramB","Model_paramC","Model_paramD","Model_paramE","WC_effect","R10","Lat_Round","Long_Round","MAP_Del","MAT_Del","PAnnual_Del","TAnnual_Del","Year","PRECIP_SD","TAIR_SD","SPI","Study_TS_Annual","TS_Flag","Annual_TS_Coverage","TS_Source","TAIR1","TAIR2","TAIR3","TAIR4","TAIR5","TAIR6","TAIR7","TAIR8","TAIR9","TAIR10","TAIR11","TAIR12","Rs1","Rs2","Rs3","Rs4","Rs5","Rs6","Rs7","Rs8","Rs9","Rs10","Rs11","Rs12","Rs_bahn_Jan","Rs_bahn_Feb","Rs_bahn_Mar","Rs_bahn_Apr","Rs_bahn_May","Rs_bahn_Jun","Rs_bahn_Jul","Rs_bahn_Aug","Rs_bahn_Sep","Rs_bahn_Oct","Rs_bahn_Nov","Rs_bahn_Dec"
2758,2501,"Yi","Chunchon",2,37.81,127.83,NA,"None","",NA,44,"Quercus mongolica","Temperate","Forest","Natural",NA,NA,NA,NA,NA,"IRGA",30,1,"",858,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","g CO2/m2/hr",0,23,NA,0.73,10,0.056,0.14,0,NA,NA,"",1.43,37.75,127.75,1322.79,10.26,1056.2,10.05,2001,257.443,0.598,-1.036,11.52,"",1,"Figure 1",-8,-3.9,2.5,11,17.4,21.1,24.2,24.3,19.1,13.4,3.3,-3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.9675539058795,92.5472347831096,227.820391170703,753.691822126065,1855.33761372045,3123.21800301383,4831.74401163536,4900.23459991752,2356.9110427257,1056.58571038105,254.974199214082,93.8591036525939
2759,2501,"Yi","Chunchon",2,37.81,127.83,NA,"None","",NA,50,"Quercus variabilis","Temperate","Forest","Natural",NA,NA,NA,NA,NA,"IRGA",30,1,"",927,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","g CO2/m2/hr",0,23,NA,0.77,10,0.048,0.17,0,NA,NA,"",1.63,37.75,127.75,1322.79,10.26,1056.2,10.05,2001,257.443,0.598,-1.036,11.52,"",1,"Figure 1",-8,-3.9,2.5,11,17.4,21.1,24.2,24.3,19.1,13.4,3.3,-3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9647519533186,70.4641638915817,210.393474781872,899.449101971391,2685.59522318839,5054.60135584358,8586.10147169898,8734.11470387719,3591.11589335988,1355.58132979625,241.221082316378,71.6788745125434
2760,2501,"Yi","Chunchon",2,37.81,127.83,NA,"None","",NA,49,"Quercus variabilis","Temperate","Forest","Natural",NA,NA,NA,NA,NA,"IRGA",30,1,"",950,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","g CO2/m2/hr",0,23,NA,0.86,10,0.055,0.142,0,NA,NA,"",1.43,37.75,127.75,1322.79,10.26,1056.2,10.05,2001,257.443,0.598,-1.036,11.52,"",1,"Figure 1",-8,-3.9,2.5,11,17.4,21.1,24.2,24.3,19.1,13.4,3.3,-3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.2202009469425,90.1758123239386,224.857924266839,756.714893027085,1886.90665182623,3200.08046906487,4981.60952231845,5053.24047679203,2405.22235857616,1065.95551709845,252.063791173508,91.4724574098802
1,2534,"Bond-Lamberty","BOREAS NSA-D1998",1.5,56.63,-99.94,NA,"None","",NA,3,"Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Forest","Natural",0.8,450,NA,NA,NA,"IRGA",30,0.35,"Exclusion",255,NA,NA,NA,0,"Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s",2,22,80,0.82,2,17.45,93.96,1,251,NA,"",0.94,56.75,-99.75,505.3,-2.68,512.3,-3.14,2002,71.992,1.383,0.097,2.622,"",0.35,"MGRsD",-23.3,-18.7,-18,-5.8,3.2,14.6,17.7,15.1,8.5,-2.8,-11.1,-17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2478482472385e+38,6.92802881615398e-09,7.95741727818618e-07,24.5641771665416,193.049282087054,615.719214377437,752.410338292911,637.394257770773,368.582581320046,60.4702247353169,1.5051464456742,5.03434216163287e-05
2,2534,"Bond-Lamberty","BOREAS NSA-D1995",1.5,56.46,-99.97,NA,"None","",NA,6,"Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Forest","Natural",0.8,450,NA,NA,NA,"IRGA",30,0.35,"Exclusion",85,NA,NA,NA,0.25,"Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s",2,22,53,0.75,2,9.79,71.72,1,251,NA,"",1.05,56.25,-99.75,482.72,-3.07,483.5,-3.78,2002,78.408,1.308,0.01,2.302,"",0.35,"MGRsD",-24.3,-19.7,-18.7,-6.5,2.8,14,17.3,14.6,7.9,-3.4,-11.8,-17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775105020355506176,4.04257765457458e-10,2.78213773280039e-06,44.4103643692586,249.600067053487,612.962110861941,724.586184589562,633.309146130771,408.363887708552,95.5576967335515,4.11659906331323,0.00070327506744797
3,2534,"Bond-Lamberty","BOREAS NSA-D1989",1.5,55.91,-98.98,NA,"None","",NA,12,"Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Forest","Natural",0.8,450,NA,NA,NA,"IRGA",30,0.35,"Exclusion",425,NA,NA,NA,0.4,"Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s",2,22,82,0.84,2,7,55.54,1,251,NA,"",1.24,55.75,-98.75,496.74,-3.16,515.1,-3.27,2002,58.467,1.224,0.314,2.557,"",0.35,"MGRsD",-23.3,-19.1,-17.5,-6.6,2.5,13.9,17.6,14.7,8.2,-2.8,-10.9,-15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.21885680555409e+23,2.65937813681249e-05,0.0172379833914663,87.8733835309133,333.138025841526,683.593472780867,789.914868413836,707.037113550611,510.591910992127,178.611362153345,22.0379373877496,0.395357095260254
4,2534,"Bond-Lamberty","BOREAS NSA-D1981",1.5,55.86,-98.48,NA,"None","",NA,20,"Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Forest","Natural",0.8,450,NA,NA,NA,"IRGA",30,0.35,"Exclusion",551,NA,NA,NA,0.3,"Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s",2,22,67,0.8,2,19.04,80.34,1,251,NA,"",1.56,55.75,-98.25,507.6,-3.16,514,-3.18,2002,66.442,1.236,0.096,2.602,"",0.35,"MGRsD",-23.6,-18.9,-17.3,-6.6,2.5,14.2,17.7,15,8.2,-2.9,-11,-15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14670468628825e+27,9.61538545427981e-08,0.00043360567194666,48.1004843797899,330.636043796115,952.73131477863,1158.65381548164,999.559945989932,613.208068427615,131.30683655205,6.09571040168866,0.0512372257968313
5,2534,"Bond-Lamberty","BOREAS NSA-D1964",1.5,55.92,-98.39,NA,"None","",NA,37,"Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Forest","Natural",0.8,450,NA,NA,NA,"IRGA",30,0.35,"Exclusion",484,NA,NA,NA,0.24,"Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s",2,22,96,0.91,2,24.75,85.6,1,251,NA,"",1.73,55.75,-98.25,507.6,-3.16,514,-3.18,2002,66.442,1.236,0.096,2.602,"",0.35,"MGRsD",-23.6,-18.9,-17.3,-6.6,2.5,14.2,17.7,15,8.2,-2.9,-11,-15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4939174611587e+28,2.3975275226045e-08,0.000187557316762681,44.5140416823218,347.144882913852,1072.07002079816,1320.59731457651,1128.30336470714,670.39648745089,129.774578026937,4.92760125361285,0.0302910441036584
6,2534,"Bond-Lamberty","BOREAS NSA-D1930",1.5,55.91,-98.52,NA,"None","",NA,71,"Picea mariana","Boreal","Forest","Natural",0.8,450,NA,NA,NA,"IRGA",30,0.35,"Exclusion",540,NA,NA,NA,0.22,"Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s",2,22,92,0.9,2,12.72,65.1,1,251,NA,"",1.68,55.75,-98.75,496.74,-3.16,515.1,-3.27,2002,58.467,1.224,0.314,2.557,"",0.35,"MGRsD",-23.3,-19.1,-17.5,-6.6,2.5,13.9,17.6,14.7,8.2,-2.8,-10.9,-15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8637023393261e+27,1.96854242025236e-06,0.00388888486541302,86.166616470799,410.892291395124,954.191599566423,1130.38032088192,992.660156421366,677.795751481692,197.886042117838,17.0316831250596,0.152935781071016
7,2534,"Bond-Lamberty","BOREAS NSA-D1850; NOBS",1.5,55.88,-98.48,NA,"None","",NA,151,"Picea mariana","Boreal","Forest","Natural",0.8,450,NA,NA,NA,"IRGA",30,0.35,"Exclusion",375,NA,NA,NA,0.13,"Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s",2,22,62,0.9,2,5.1,40.27,1,251,NA,"",1.46,55.75,-98.25,507.6,-3.16,514,-3.18,2002,66.442,1.236,0.096,2.602,"",0.35,"MGRsD",-23.6,-18.9,-17.3,-6.6,2.5,14.2,17.7,15,8.2,-2.9,-11,-15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1237328756392670,0.00750460783161725,0.509261048806999,172.086712280085,452.261670536335,768.726758454845,847.948363116056,787.439395705304,616.385647932202,284.68143541484,61.103785295251,5.56884892479399
8,2534,"Bond-Lamberty","BOREAS NSA-W1998",1.5,56.63,-99.94,NA,"None","",NA,3,"Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Forest","Natural",0.8,450,NA,NA,NA,"IRGA",30,0.35,"Exclusion",137,NA,NA,NA,0,"Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s",2,22,80,0.82,2,17.45,93.96,1,251,NA,"",0.94,56.75,-99.75,505.3,-2.68,512.3,-3.14,2002,71.992,1.383,0.097,2.622,"",0.35,"MGRsD",-23.3,-18.7,-18,-5.8,3.2,14.6,17.7,15.1,8.5,-2.8,-11.1,-17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2478482472385e+38,6.92802881615398e-09,7.95741727818618e-07,24.5641771665416,193.049282087054,615.719214377437,752.410338292911,637.394257770773,368.582581320046,60.4702247353169,1.5051464456742,5.03434216163287e-05
9,2534,"Bond-Lamberty","BOREAS NSA-W1995",1.5,56.46,-99.98,NA,"None","",NA,6,"Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Forest","Natural",0.8,450,NA,NA,NA,"IRGA",30,0.35,"Exclusion",513,NA,NA,NA,0.09,"Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s",2,22,53,0.75,2,9.79,71.72,1,251,NA,"",1.05,56.25,-99.75,482.72,-3.07,483.5,-3.78,2002,78.408,1.308,0.01,2.302,"",0.35,"MGRsD",-24.3,-19.7,-18.7,-6.5,2.8,14,17.3,14.6,7.9,-3.4,-11.8,-17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775105020355506176,4.04257765457458e-10,2.78213773280039e-06,44.4103643692586,249.600067053487,612.962110861941,724.586184589562,633.309146130771,408.363887708552,95.5576967335515,4.11659906331323,0.00070327506744797
10,2534,"Bond-Lamberty","BOREAS NSA-W1989",1.5,55.9,-98.98,NA,"None","",NA,12,"Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Forest","Natural",0.8,450,NA,NA,NA,"IRGA",30,0.35,"Exclusion",337,NA,NA,NA,0.27,"Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s",2,22,82,0.84,2,7,55.54,1,251,NA,"",1.24,55.75,-98.75,496.74,-3.16,515.1,-3.27,2002,58.467,1.224,0.314,2.557,"",0.35,"MGRsD",-23.3,-19.1,-17.5,-6.6,2.5,13.9,17.6,14.7,8.2,-2.8,-10.9,-15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.21885680555409e+23,2.65937813681249e-05,0.0172379833914663,87.8733835309133,333.138025841526,683.593472780867,789.914868413836,707.037113550611,510.591910992127,178.611362153345,22.0379373877496,0.395357095260254
11,2534,"Bond-Lamberty","BOREAS NSA-W1981",1.5,55.86,-98.48,NA,"None","",NA,20,"Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Forest","Natural",0.8,450,NA,NA,NA,"IRGA",30,0.35,"Exclusion",570,NA,NA,NA,0.37,"Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s",2,22,67,0.8,2,19.04,80.34,1,251,NA,"",1.56,55.75,-98.25,507.6,-3.16,514,-3.18,2002,66.442,1.236,0.096,2.602,"",0.35,"MGRsD",-23.6,-18.9,-17.3,-6.6,2.5,14.2,17.7,15,8.2,-2.9,-11,-15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14670468628825e+27,9.61538545427981e-08,0.00043360567194666,48.1004843797899,330.636043796115,952.73131477863,1158.65381548164,999.559945989932,613.208068427615,131.30683655205,6.09571040168866,0.0512372257968313
12,2534,"Bond-Lamberty","BOREAS NSA-W1964",1.5,55.92,-98.39,NA,"None","",NA,37,"Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Forest","Natural",0.8,450,NA,NA,NA,"IRGA",30,0.35,"Exclusion",397,NA,NA,NA,0.15,"Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s",2,22,96,0.91,2,24.75,85.6,1,251,NA,"",1.73,55.75,-98.25,507.6,-3.16,514,-3.18,2002,66.442,1.236,0.096,2.602,"",0.35,"MGRsD",-23.6,-18.9,-17.3,-6.6,2.5,14.2,17.7,15,8.2,-2.9,-11,-15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4939174611587e+28,2.3975275226045e-08,0.000187557316762681,44.5140416823218,347.144882913852,1072.07002079816,1320.59731457651,1128.30336470714,670.39648745089,129.774578026937,4.92760125361285,0.0302910441036584
13,2534,"Bond-Lamberty","BOREAS NSA-W1930",1.5,55.91,-98.51,NA,"None","",NA,71,"Picea mariana","Boreal","Forest","Natural",0.8,450,NA,NA,NA,"IRGA",30,0.35,"Exclusion",338,NA,NA,NA,0.18,"Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s",2,22,92,0.9,2,12.72,65.1,1,251,NA,"",1.68,55.75,-98.75,496.74,-3.16,515.1,-3.27,2002,58.467,1.224,0.314,2.557,"",0.35,"MGRsD",-23.3,-19.1,-17.5,-6.6,2.5,13.9,17.6,14.7,8.2,-2.8,-10.9,-15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8637023393261e+27,1.96854242025236e-06,0.00388888486541302,86.166616470799,410.892291395124,954.191599566423,1130.38032088192,992.660156421366,677.795751481692,197.886042117838,17.0316831250596,0.152935781071016
14,2534,"Bond-Lamberty","BOREAS NSA-W1850; NOBS",1.5,55.88,-98.48,NA,"None","",NA,151,"Picea mariana","Boreal","Forest","Natural",0.8,450,NA,NA,NA,"IRGA",30,0.35,"Exclusion",375,NA,NA,NA,0.21,"Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s",2,22,62,0.9,2,5.1,40.27,1,251,NA,"",1.46,55.75,-98.25,507.6,-3.16,514,-3.18,2002,66.442,1.236,0.096,2.602,"",0.35,"MGRsD",-23.6,-18.9,-17.3,-6.6,2.5,14.2,17.7,15,8.2,-2.9,-11,-15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1237328756392670,0.00750460783161725,0.509261048806999,172.086712280085,452.261670536335,768.726758454845,847.948363116056,787.439395705304,616.385647932202,284.68143541484,61.103785295251,5.56884892479399
33,951,"Haynes","Haynes1",1,46.17,-89.67,NA,"None","",NA,31,"Pinus resinosa","Temperate","Forest","Managed",4.2,586,NA,NA,NA,"Soda lime",30,0.6,"Exclusion",541,30,NA,NA,NA,"","Exponential (other), R=a 10^(b(T-c))","Positive","g CO2/m2/hr",NA,NA,NA,0.8,10,0.158,0.023,0,NA,NA,"",1.68,46.25,-89.75,800.17,4.33,1063.3,4.86,1991,140.295,0.888,1.876,3.97,"",1,"Rs_Ts_Relationship",-13.6,-7.6,-2.9,6.7,13.7,19.4,18.8,19.2,11.8,5.3,-4.5,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.384568116283,303.337693965734,389.592081171055,649.53482498415,942.913472059968,1277.26138014372,1237.10129308883,1263.73187804927,852.188875972508,602.876785077632,357.776161946576,296.945467599387
