Record_number,Study_number,Author,Site_name,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_wet,Rs_dry,RC_seasonal,RC_season,Model_type,Temp_effect,Model_output_units,Model_temp_min,Model_temp_max,Model_N,Model_R2,T_depth,Model_paramA,Model_paramB,Model_paramC,Model_paramD,Model_paramE,WC_effect,R10,Lat_Round,Long_Round,MAP_Del,MAT_Del,PAnnual_Del,TAnnual_Del,Year,PRECIP_SD,TAIR_SD,SPI,Study_TS_Annual,TS_Flag,Annual_TS_Coverage,TS_Source,TAIR1,TAIR2,TAIR3,TAIR4,TAIR5,TAIR6,TAIR7,TAIR8,TAIR9,TAIR10,TAIR11,TAIR12,Rs1,Rs2,Rs3,Rs4,Rs5,Rs6,Rs7,Rs8,Rs9,Rs10,Rs11,Rs12
2758,2501,Yi,Chunchon,2,37.81,127.83,,None,,,44,Quercus mongolica,Temperate,Forest,Natural,,,,,,IRGA,30,1,,858,,,,,,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,0,23,,0.73,10,0.056,0.14,0,,,,1.43,37.75,127.75,1322.79,10.26,1056.2,10.05,2001,257.443,0.598,-1.036,11.52,,1,Figure 1,-8,-3.9,2.5,11,17.4,21.1,24.2,24.3,19.1,13.4,3.3,-3.8,,,,,,,,,,,,
2759,2501,Yi,Chunchon,2,37.81,127.83,,None,,,50,Quercus variabilis,Temperate,Forest,Natural,,,,,,IRGA,30,1,,927,,,,,,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,0,23,,0.77,10,0.048,0.17,0,,,,1.63,37.75,127.75,1322.79,10.26,1056.2,10.05,2001,257.443,0.598,-1.036,11.52,,1,Figure 1,-8,-3.9,2.5,11,17.4,21.1,24.2,24.3,19.1,13.4,3.3,-3.8,,,,,,,,,,,,
2760,2501,Yi,Chunchon,2,37.81,127.83,,None,,,49,Quercus variabilis,Temperate,Forest,Natural,,,,,,IRGA,30,1,,950,,,,,,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,0,23,,0.86,10,0.055,0.142,0,,,,1.43,37.75,127.75,1322.79,10.26,1056.2,10.05,2001,257.443,0.598,-1.036,11.52,,1,Figure 1,-8,-3.9,2.5,11,17.4,21.1,24.2,24.3,19.1,13.4,3.3,-3.8,,,,,,,,,,,,
1,2534,Bond-Lamberty,BOREAS NSA-D1998,1.5,56.63,-99.94,,None,,,3,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,0.8,450,,,,IRGA,30,0.35,Exclusion,255,,,,0,Growing,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,2,22,80,0.82,2,17.45,93.96,1,251,,,0.94,56.75,-99.75,505.3,-2.68,512.3,-3.14,2002,71.992,1.383,0.097,2.622,,0.35,MGRsD,-23.3,-18.7,-18,-5.8,3.2,14.6,17.7,15.1,8.5,-2.8,-11.1,-17.1,,,,,,,,,,,,
2,2534,Bond-Lamberty,BOREAS NSA-D1995,1.5,56.46,-99.97,,None,,,6,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,0.8,450,,,,IRGA,30,0.35,Exclusion,85,,,,0.25,Growing,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,2,22,53,0.75,2,9.79,71.72,1,251,,,1.05,56.25,-99.75,482.72,-3.07,483.5,-3.78,2002,78.408,1.308,0.01,2.302,,0.35,MGRsD,-24.3,-19.7,-18.7,-6.5,2.8,14,17.3,14.6,7.9,-3.4,-11.8,-17.5,,,,,,,,,,,,
3,2534,Bond-Lamberty,BOREAS NSA-D1989,1.5,55.91,-98.98,,None,,,12,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,0.8,450,,,,IRGA,30,0.35,Exclusion,425,,,,0.4,Growing,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,2,22,82,0.84,2,7,55.54,1,251,,,1.24,55.75,-98.75,496.74,-3.16,515.1,-3.27,2002,58.467,1.224,0.314,2.557,,0.35,MGRsD,-23.3,-19.1,-17.5,-6.6,2.5,13.9,17.6,14.7,8.2,-2.8,-10.9,-15.9,,,,,,,,,,,,
4,2534,Bond-Lamberty,BOREAS NSA-D1981,1.5,55.86,-98.48,,None,,,20,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,0.8,450,,,,IRGA,30,0.35,Exclusion,551,,,,0.3,Growing,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,2,22,67,0.8,2,19.04,80.34,1,251,,,1.56,55.75,-98.25,507.6,-3.16,514,-3.18,2002,66.442,1.236,0.096,2.602,,0.35,MGRsD,-23.6,-18.9,-17.3,-6.6,2.5,14.2,17.7,15,8.2,-2.9,-11,-15.4,,,,,,,,,,,,
5,2534,Bond-Lamberty,BOREAS NSA-D1964,1.5,55.92,-98.39,,None,,,37,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,0.8,450,,,,IRGA,30,0.35,Exclusion,484,,,,0.24,Growing,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,2,22,96,0.91,2,24.75,85.6,1,251,,,1.73,55.75,-98.25,507.6,-3.16,514,-3.18,2002,66.442,1.236,0.096,2.602,,0.35,MGRsD,-23.6,-18.9,-17.3,-6.6,2.5,14.2,17.7,15,8.2,-2.9,-11,-15.4,,,,,,,,,,,,
6,2534,Bond-Lamberty,BOREAS NSA-D1930,1.5,55.91,-98.52,,None,,,71,Picea mariana,Boreal,Forest,Natural,0.8,450,,,,IRGA,30,0.35,Exclusion,540,,,,0.22,Growing,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,2,22,92,0.9,2,12.72,65.1,1,251,,,1.68,55.75,-98.75,496.74,-3.16,515.1,-3.27,2002,58.467,1.224,0.314,2.557,,0.35,MGRsD,-23.3,-19.1,-17.5,-6.6,2.5,13.9,17.6,14.7,8.2,-2.8,-10.9,-15.9,,,,,,,,,,,,
7,2534,Bond-Lamberty,BOREAS NSA-D1850; NOBS,1.5,55.88,-98.48,,None,,,151,Picea mariana,Boreal,Forest,Natural,0.8,450,,,,IRGA,30,0.35,Exclusion,375,,,,0.13,Growing,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,2,22,62,0.9,2,5.1,40.27,1,251,,,1.46,55.75,-98.25,507.6,-3.16,514,-3.18,2002,66.442,1.236,0.096,2.602,,0.35,MGRsD,-23.6,-18.9,-17.3,-6.6,2.5,14.2,17.7,15,8.2,-2.9,-11,-15.4,,,,,,,,,,,,
8,2534,Bond-Lamberty,BOREAS NSA-W1998,1.5,56.63,-99.94,,None,,,3,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,0.8,450,,,,IRGA,30,0.35,Exclusion,137,,,,0,Growing,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,2,22,80,0.82,2,17.45,93.96,1,251,,,0.94,56.75,-99.75,505.3,-2.68,512.3,-3.14,2002,71.992,1.383,0.097,2.622,,0.35,MGRsD,-23.3,-18.7,-18,-5.8,3.2,14.6,17.7,15.1,8.5,-2.8,-11.1,-17.1,,,,,,,,,,,,
9,2534,Bond-Lamberty,BOREAS NSA-W1995,1.5,56.46,-99.98,,None,,,6,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,0.8,450,,,,IRGA,30,0.35,Exclusion,513,,,,0.09,Growing,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,2,22,53,0.75,2,9.79,71.72,1,251,,,1.05,56.25,-99.75,482.72,-3.07,483.5,-3.78,2002,78.408,1.308,0.01,2.302,,0.35,MGRsD,-24.3,-19.7,-18.7,-6.5,2.8,14,17.3,14.6,7.9,-3.4,-11.8,-17.5,,,,,,,,,,,,
10,2534,Bond-Lamberty,BOREAS NSA-W1989,1.5,55.9,-98.98,,None,,,12,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,0.8,450,,,,IRGA,30,0.35,Exclusion,337,,,,0.27,Growing,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,2,22,82,0.84,2,7,55.54,1,251,,,1.24,55.75,-98.75,496.74,-3.16,515.1,-3.27,2002,58.467,1.224,0.314,2.557,,0.35,MGRsD,-23.3,-19.1,-17.5,-6.6,2.5,13.9,17.6,14.7,8.2,-2.8,-10.9,-15.9,,,,,,,,,,,,
11,2534,Bond-Lamberty,BOREAS NSA-W1981,1.5,55.86,-98.48,,None,,,20,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,0.8,450,,,,IRGA,30,0.35,Exclusion,570,,,,0.37,Growing,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,2,22,67,0.8,2,19.04,80.34,1,251,,,1.56,55.75,-98.25,507.6,-3.16,514,-3.18,2002,66.442,1.236,0.096,2.602,,0.35,MGRsD,-23.6,-18.9,-17.3,-6.6,2.5,14.2,17.7,15,8.2,-2.9,-11,-15.4,,,,,,,,,,,,
12,2534,Bond-Lamberty,BOREAS NSA-W1964,1.5,55.92,-98.39,,None,,,37,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,0.8,450,,,,IRGA,30,0.35,Exclusion,397,,,,0.15,Growing,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,2,22,96,0.91,2,24.75,85.6,1,251,,,1.73,55.75,-98.25,507.6,-3.16,514,-3.18,2002,66.442,1.236,0.096,2.602,,0.35,MGRsD,-23.6,-18.9,-17.3,-6.6,2.5,14.2,17.7,15,8.2,-2.9,-11,-15.4,,,,,,,,,,,,
13,2534,Bond-Lamberty,BOREAS NSA-W1930,1.5,55.91,-98.51,,None,,,71,Picea mariana,Boreal,Forest,Natural,0.8,450,,,,IRGA,30,0.35,Exclusion,338,,,,0.18,Growing,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,2,22,92,0.9,2,12.72,65.1,1,251,,,1.68,55.75,-98.75,496.74,-3.16,515.1,-3.27,2002,58.467,1.224,0.314,2.557,,0.35,MGRsD,-23.3,-19.1,-17.5,-6.6,2.5,13.9,17.6,14.7,8.2,-2.8,-10.9,-15.9,,,,,,,,,,,,
14,2534,Bond-Lamberty,BOREAS NSA-W1850; NOBS,1.5,55.88,-98.48,,None,,,151,Picea mariana,Boreal,Forest,Natural,0.8,450,,,,IRGA,30,0.35,Exclusion,375,,,,0.21,Growing,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,2,22,62,0.9,2,5.1,40.27,1,251,,,1.46,55.75,-98.25,507.6,-3.16,514,-3.18,2002,66.442,1.236,0.096,2.602,,0.35,MGRsD,-23.6,-18.9,-17.3,-6.6,2.5,14.2,17.7,15,8.2,-2.9,-11,-15.4,,,,,,,,,,,,
33,951,Haynes,Haynes1,1,46.17,-89.67,,None,,,31,Pinus resinosa,Temperate,Forest,Managed,4.2,586,,,,Soda lime,30,0.6,Exclusion,541,30,,,,,"Exponential (other), R=a 10^(b(T-c))",Positive,g CO2/m2/hr,,,,0.8,10,0.158,0.023,0,,,,1.68,46.25,-89.75,800.17,4.33,1063.3,4.86,1991,140.295,0.888,1.876,3.97,,1,Rs_Ts_Relationship,-13.6,-7.6,-2.9,6.7,13.7,19.4,18.8,19.2,11.8,5.3,-4.5,-8,,,,,,,,,,,,
35,951,Haynes,Haynes1,1,46.17,-89.67,,None,,,31,Pinus resinosa,Temperate,Forest,Managed,4.2,586,,,,Soda lime,30,0.6,Exclusion,483,20,,,,,"Exponential (other), R=a 10^(b(T-c))",Positive,g CO2/m2/hr,,,,0.8,10,0.158,0.023,0,,,,1.68,46.25,-89.75,800.17,4.33,786,4.31,1992,140.295,0.888,-0.101,3.97,,1,Rs_Ts_Relationship,-8.6,-6.4,-3.9,2.5,13.2,15,15.6,15.7,12.5,6.5,-2.6,-7.8,,,,,,,,,,,,
37,951,Haynes,Haynes1,1,46.17,-89.67,,None,,,31,Pinus resinosa,Temperate,Forest,Managed,4.2,586,,,,Soda lime,30,0.6,Exclusion,505,20,,,,,"Exponential (other), R=a 10^(b(T-c))",Positive,g CO2/m2/hr,,,,0.8,10,0.158,0.023,0,,,,1.68,46.25,-89.75,800.17,4.33,780.1,3.73,1993,140.295,0.888,-0.143,3.97,,1,Rs_Ts_Relationship,-10.7,-10.6,-3.6,2.3,10.5,15,18.8,18.3,10,5.2,-3.2,-7.2,,,,,,,,,,,,
93,2037,Irvine,Metiolus-O,1,44.42,-121.51,,None,,,250,Pinus ponderosa,Temperate,Forest,Natural,8.1,524,,,,IRGA,30,0.92,Extraction,499,32,,,,,"Exponential, R=a exp(b(T-c))",,umol CO2/m2/s,1,20,271,0.73,15,0.523,0.105,0,,,,1.49,44.25,-121.75,1065.32,3.54,1130.6,3.33,1999,247.476,0.562,0.264,7.17,TAIR_1,0.92,MGRsD and TAIR_Del,-3.2,-3.1,-1.6,0.8,3.9,7.9,11.6,13.4,8.9,4,1.4,-4.1,,,,,,,,,,,,
95,2037,Irvine,Metiolus-O,1,44.42,-121.51,,None,,,250,Pinus ponderosa,Temperate,Forest,Natural,8.1,524,,,,IRGA,30,0.92,Extraction,597,45,,,,,"Exponential, R=a exp(b(T-c))",,umol CO2/m2/s,1,20,271,0.73,15,0.523,0.105,0,,,,1.49,44.25,-121.75,1065.32,3.54,852.7,3.25,2000,247.476,0.562,-0.859,7.7,TAIR_1,0.92,MGRsD and TAIR_Del,-5.4,-2.5,-1.3,3.6,5.9,10,13.1,12.8,9.2,3.1,-4.8,-4.7,,,,,,,,,,,,
97,2037,Irvine,Metiolus-O,1,44.42,-121.51,,None,,,250,Pinus ponderosa,Temperate,Forest,Natural,8.1,524,,,,IRGA,30,0.92,Extraction,483,68,,,,,"Exponential, R=a exp(b(T-c))",,umol CO2/m2/s,1,20,271,0.73,15,0.523,0.105,0,,,,1.49,44.25,-121.75,1065.32,3.54,935.7,3.54,2001,247.476,0.562,-0.524,7.7,TAIR_1,0.92,MGRsD and TAIR_Del,-4.5,-4.6,0,0.6,7.7,8.8,12.6,13.6,9.8,4,-0.4,-5.1,,,,,,,,,,,,
104,4182,Tate,Maruia,1.5,-42.22,172.25,400,None,,,,Nothofagus,Temperate,Forest,Natural,9.8,2000,,9.8,1520,Alkali absorption,60,1,Extraction,650,,,,,,"Exponential, R=a exp(b(T-c))",Positive,g C/m2/hr,6,16,10,0.87,10,0.032,0.078,0,,,,1.62,-42.25,172.25,1489.2,9.12,1521.4,8.67,1991,159.885,0.461,0.201,9.814,,1,MGRsD,14.1,13.5,12.9,9,6.2,2.7,2.3,5.4,7.1,8.8,9.8,12.2,2.904,2.28,2.184,1.632,,,,,,,,
112,68,Kucera,UM Prairie Station,1.8,38.95,-91.94,,None,,,,Andropogon gerardi; Andropogon scoparius,Temperate,Grassland,Natural,12.8,1000,,,,IRGA,2.5,1,Subtraction,457,,,,,,"Exponential (ln2), ln(R)=a+b ln(T-c)",Positive,mg CO2/m2/hr,-3,39,,0.89,5,-1.66,2.2,-10,,,,3.21,38.75,-91.75,987.89,12.78,1296.5,12.06,1969,207.237,0.701,1.489,10.051,,1,MGRsD,-2.2,1.4,2.5,13.6,17.9,21.5,26.6,24.5,20.3,12.7,6,-0.1,0.242,0.049,0.404,0.821,1.635,2.11,2.782,2.532,2.036,1.343,0.754,0.372
114,1078,Lamade,Ouidah,1,6.38,2.13,,None,,,20,Elaeis guineensis,Tropical,Forest,Managed,27,950,,,,IRGA,0.04,0.08,Extraction,1610,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,20,33,11,0.76,15,0.62,0.07,0,,,,,6.25,2.25,898.23,26.96,716.4,26.98,1993,225.756,0.391,-0.02,24.568,,0.08,MGRsD,,,,,,,,,,,,,,,,,,,,,,,,
133,3845,Gough,University of Michigan Biological Station,1,45.59,-84.72,,None,,,6,Populus grandidentata,Temperate,Forest,Natural,5.5,817,,,,IRGA,21,0.58,Extraction,675,54,,,,,"Exponential, R=a exp(b(T-c))",,umol CO2/m2/s,,,,0.97,,0.763,0.106,0,,,,2.2,45.75,-84.75,748.46,5.52,740.6,5.62,2004,108.252,1.054,-0.073,8.48,,0.58,Rs_Ts_Relationship,-11.2,-6.4,-1.2,3,7.9,13.4,17.7,16.7,17.1,9.6,4.3,-3.5,,,,,,,,,,,,
134,3845,Gough,University of Michigan Biological Station,1,45.59,-84.72,,None,,,24,Populus grandidentata,Temperate,Forest,Natural,5.5,817,,,,IRGA,21,0.58,Extraction,782,51,,,,,"Exponential, R=a exp(b(T-c))",,umol CO2/m2/s,,,,0.97,,0.588,0.136,0,,,,2.29,45.75,-84.75,748.46,5.52,740.6,5.62,2004,108.252,1.054,-0.073,8.48,,0.58,Rs_Ts_Relationship,-11.2,-6.4,-1.2,3,7.9,13.4,17.7,16.7,17.1,9.6,4.3,-3.5,,,,,,,,,,,,
135,3845,Gough,University of Michigan Biological Station,1,45.59,-84.72,,None,,,50,Populus grandidentata,Temperate,Forest,Natural,5.5,817,,,,IRGA,21,0.58,Extraction,782,72,,,,,"Exponential, R=a exp(b(T-c))",,umol CO2/m2/s,,,,0.96,,0.877,0.107,0,,,,2.56,45.75,-84.75,748.46,5.52,740.6,5.62,2004,108.252,1.054,-0.073,8.48,,0.58,Rs_Ts_Relationship,-11.2,-6.4,-1.2,3,7.9,13.4,17.7,16.7,17.1,9.6,4.3,-3.5,,,,,,,,,,,,
136,3845,Gough,University of Michigan Biological Station,1,45.59,-84.72,,None,,,56,Populus grandidentata,Temperate,Forest,Natural,5.5,817,,,,IRGA,21,0.58,Extraction,1090,65,,,,,"Exponential, R=a exp(b(T-c))",,umol CO2/m2/s,,,,0.98,,0.978,0.122,0,,,,3.31,45.75,-84.75,748.46,5.52,740.6,5.62,2004,108.252,1.054,-0.073,8.48,,0.58,Rs_Ts_Relationship,-11.2,-6.4,-1.2,3,7.9,13.4,17.7,16.7,17.1,9.6,4.3,-3.5,,,,,,,,,,,,
137,3845,Gough,University of Michigan Biological Station,1,45.59,-84.72,,None,,,68,Populus grandidentata,Temperate,Forest,Natural,5.5,817,,,,IRGA,21,0.58,Extraction,930,66,,,,,"Exponential, R=a exp(b(T-c))",,umol CO2/m2/s,,,,0.97,,0.995,0.109,0,,,,2.96,45.75,-84.75,748.46,5.52,740.6,5.62,2004,108.252,1.054,-0.073,8.48,,0.58,Rs_Ts_Relationship,-11.2,-6.4,-1.2,3,7.9,13.4,17.7,16.7,17.1,9.6,4.3,-3.5,,,,,,,,,,,,
141,316,Nakane 1983,Fuchu,1,34.38,132.45,,None,,,80,Pinus densiflora,Temperate,Forest,Unmanaged,15,1544,,,,KOH trap,15,1,Comparison,1299,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,4,30,,,,133,0.09,0,,,,2.06,34.25,132.25,1455.51,16.09,1971.3,15.21,1980,259.858,0.471,0.05,13.719,,1,MGRsD,,,,,,,,,,,,,,,,,,,,,,,,
150,1665,Ohashi,Kyushu Forest Research and Instruction Station,2,32.82,130.73,,None,,,10,Cryptomeria japonica,Temperate,Forest,Managed,16.2,1970,,,,IRGA,30,1,Comparison,618,,,,,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,mg CO2/m2/hr,4,32,,0.92,0,4.38,0.062,0,,,,0.94,32.75,130.75,1878.07,16.74,1914.1,16.85,1997,329.079,0.54,0.109,16.646,,1,MGRsD,4.9,7,11.4,15.7,20.4,23.9,26.6,27.9,23.4,17.8,14.5,8.7,,,,1.406,1.636,1.928,3.45,2.603,1.861,1.321,1.136,1.229
174,1382,Russell,BOREAS SSA-OA,1,53.63,-106.2,,None,,,70,Populus tremuloides,Boreal,Forest,Natural,0.5,406,,0.8,482,IRGA,7,0.5,Subtraction,905,,,,,,"Exponential (2nd order), R=exp(a+b(T-d)+c(T-d)^2)",Positive,mg CO2/m2/s,0,17,10,0.87,10,-3.243,0.136,0,0,,None,3.41,53.75,-106.25,466.77,-0.03,442.3,-0.28,1994,98.814,1.161,-0.248,1.36,TAIR_6,0.5,MGRsD and TAIR_Del,-24.2,-22.2,-3.5,2.3,8.6,13.8,15.8,14.3,11.8,3.6,-8.2,-15.5,,,,1.153,2.436,3.281,7.463,5.335,2.72,,,
