Record_number,Entry_date,Study_number,Author,Duplicate_record,Quality_flag,Contributor,Country,Region,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,Stage,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_interann_err,Rs_max,Rs_maxday,Rs_min,Rs_minday,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_seasonal,RC_season,Model_type,Temp_effect,Model_output_units,Model_temp_min,Model_temp_max,Model_N,Model_R2,T_depth,Model_paramA,Model_paramB,Model_paramC,Model_paramD,Model_paramE,WC_effect,R10,Q10_0_10,Q10_5_15,Q10_10_20,Q10_0_20,Q10_other1,Q10_other1_temp_min,Q10_other1_temp_max,Q10_other2,Q10_other2_temp_min,Q10_other2_temp_max,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes,Lat_Adj,Long_Adj,Lat_Round,Long_Round,MAP_Del,MAT_Del,PAnnual_Del,TAnnual_Del,Year,PRECIP_SD,TAIR_SD,SPI
2776,00:00.0,205,Yoneda,,,BBL,Japan,,Minamata Forest-P2,1970,1,32.17,130.58,500,None,,,,Castanopsis cuspidata,Temperate,Forest,Natural,Evergreen,Mature,,Dry,,,,,,,,,,,Alkali absorption,30,1,Subtraction,1085,,2,,,,,271,178,907,0.16,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,0,25,,0.97,,89.1,0.106,0,,,,1.62,2.89,2.89,2.89,2.89,,,,,,,2430,,,,,,,,379,196,575,,,,,18880,4620,,,9380,,,,-0.17,0.42,32.25,130.75,2338.02,15.39,2550.2,15.22,1970,383.558,0.432,0.553
2777,00:00.0,205,Yoneda,,,BBL,Japan,,Minamata Forest-Q1,1970,1,32.17,130.58,500,None,,,,Cyclobalanopsis gilva,Temperate,Forest,Natural,Deciduous,Mature,,Dry,,,,,,,,,,,Alkali absorption,30,1,,843,,1,,,,,,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,0,25,,0.95,,68.8,0.108,0,,,,1.28,2.94,2.94,2.94,2.94,,,,,,,,,,,,,,,335,,,,,,,,,,,,,,,-0.17,0.42,32.25,130.75,2338.02,15.39,2550.2,15.22,1970,383.558,0.432,0.553
2778,00:00.0,205,Yoneda,,,BBL,Japan,,Minamata Forest-Q2,1970,1,32.17,130.58,500,None,,,,Cyclobalanopsis salicina,Temperate,Forest,Natural,Deciduous,Mature,,Dry,,,,,,,,,,,Alkali absorption,30,1,,1220,,1,,,,,,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,0,25,,0.97,,121,0.099,0,,,,2.06,2.69,2.69,2.69,2.69,,,,,,,,,,,,,,,372,,,,,,,,,,,,,,,-0.17,0.42,32.25,130.75,2338.02,15.39,2550.2,15.22,1970,383.558,0.432,0.553
2779,00:00.0,205,Yoneda,,,BBL,Japan,,Minamata Forest-Q4,1970,1,32.17,130.58,500,None,,,,Machilus thunbergii,Temperate,Forest,Natural,Deciduous,Mature,,Dry,,,,,,,,,,,Alkali absorption,30,1,,933,,1,,,,,,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,0,25,,0.96,,107,0.09,0,,,,1.66,2.46,2.46,2.46,2.46,,,,,,,,,,,,,,,326,,,,,,,,,,,,,,,-0.17,0.42,32.25,130.75,2338.02,15.39,2550.2,15.22,1970,383.558,0.432,0.553
2780,00:00.0,205,Yoneda,,,BBL,Japan,,Minamata Forest-Q18,1970,1,32.17,130.58,500,None,,,,Cyclobalanopsis acuta,Temperate,Forest,Natural,Deciduous,Mature,,Dry,,,,,,,,,,,Alkali absorption,30,1,,1110,,0,,,,,,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,0,25,,0.92,,160,0.076,0,,,,2.16,2.14,2.14,2.14,2.14,,,,,,,,,,,,,,,291,,,,,,,,,,,,,,,-0.17,0.42,32.25,130.75,2338.02,15.39,2550.2,15.22,1970,383.558,0.432,0.553
2781,00:00.0,205,Yoneda,,,BBL,Japan,,Minamata Forest-P2,1971,1,32.17,130.58,500,None,,,,Castanopsis cuspidata,Temperate,Forest,Natural,Evergreen,Mature,,Dry,,,,,,,,,,,Alkali absorption,30,1,Subtraction,1082,,2,,,,,271,178,904,0.16,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,0,25,,0.97,,89.1,0.106,0,,,,1.62,2.89,2.89,2.89,2.89,,,,,,,2430,,,,,,,,379,196,575,,,,,18880,4620,,,9380,,,,-0.17,0.42,32.25,130.75,2338.02,15.39,2397.6,15.19,1971,383.558,0.432,0.155
2782,00:00.0,205,Yoneda,,,BBL,Japan,,Minamata Forest-Q1,1971,1,32.17,130.58,500,None,,,,Cyclobalanopsis gilva,Temperate,Forest,Natural,Deciduous,Mature,,Dry,,,,,,,,,,,Alkali absorption,30,1,,841,,1,,,,,,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,0,25,,0.95,,68.8,0.108,0,,,,1.28,2.94,2.94,2.94,2.94,,,,,,,,,,,,,,,335,,,,,,,,,,,,,,,-0.17,0.42,32.25,130.75,2338.02,15.39,2397.6,15.19,1971,383.558,0.432,0.155
2783,00:00.0,205,Yoneda,,,BBL,Japan,,Minamata Forest-Q2,1971,1,32.17,130.58,500,None,,,,Cyclobalanopsis salicina,Temperate,Forest,Natural,Deciduous,Mature,,Dry,,,,,,,,,,,Alkali absorption,30,1,,1218,,1,,,,,,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,0,25,,0.97,,121,0.099,0,,,,2.06,2.69,2.69,2.69,2.69,,,,,,,,,,,,,,,372,,,,,,,,,,,,,,,-0.17,0.42,32.25,130.75,2338.02,15.39,2397.6,15.19,1971,383.558,0.432,0.155
2784,00:00.0,205,Yoneda,,,BBL,Japan,,Minamata Forest-Q4,1971,1,32.17,130.58,500,None,,,,Machilus thunbergii,Temperate,Forest,Natural,Deciduous,Mature,,Dry,,,,,,,,,,,Alkali absorption,30,1,,932,,1,,,,,,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,0,25,,0.96,,107,0.09,0,,,,1.66,2.46,2.46,2.46,2.46,,,,,,,,,,,,,,,326,,,,,,,,,,,,,,,-0.17,0.42,32.25,130.75,2338.02,15.39,2397.6,15.19,1971,383.558,0.432,0.155
2785,00:00.0,205,Yoneda,,,BBL,Japan,,Minamata Forest-Q18,1971,1,32.17,130.58,500,None,,,,Cyclobalanopsis acuta,Temperate,Forest,Natural,Deciduous,Mature,,Dry,,,,,,,,,,,Alkali absorption,30,1,,1110,,0,,,,,,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,0,25,,0.92,,160,0.076,0,,,,2.16,2.14,2.14,2.14,2.14,,,,,,,,,,,,,,,291,,,,,,,,,,,,,,,-0.17,0.42,32.25,130.75,2338.02,15.39,2397.6,15.19,1971,383.558,0.432,0.155
2431,00:00.0,211,Chapman,,Q03,BBL,United Kingdom,,,1976,1,50.67,-1.92,,None,,,,Calluna vulgaris,Temperate,Shrubland,Natural,Evergreen,Mature,Sandy,Dry,,,,,,10.7,800,,,,Alkali absorption,,,Extraction,1105,,,,,,,115,800,305,0.72,,,,,,,,,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,g CO2/m2/hr,2,18,,0.82,3,-2.07,0.08,0,,,,1.84,2.32,2.32,2.32,2.32,,,,,,,,,,,,200,,,120,,,,,,,,,,,,,,Year of study not given,0.33,-0.08,50.75,-1.75,795.16,10.27,683,10.49,1976,139.853,0.639,-0.802
1651,00:00.0,267,Gupta,,,BBL,India,,Kurukshetra,1975.5,1,29.97,76.18,250,None,,,,Mix,Tropical,Grassland,Natural,Deciduous,Mature,Alluvial,Dry,,,,,,24.5,661,,,,Soda lime,10,1,Comparison,470,,,,,,,,197,273,0.42,,,,,,,,,,"Linear, R=a+b(T-c)",Positive,mg CO2/m2/hr,15,35,,0.69,-200,-7.8,8.77,0,,,Positive,,,,,,1.6,15,35,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,-0.18,29.75,76.25,507.49,24.45,668,24.35,1976,164.558,0.43,0.975
141,00:00.0,316,Nakane 1983,,,BBL,Japan,,Fuchu,1980,1,34.38,132.45,,None,,,80,Pinus densiflora,Temperate,Forest,Unmanaged,Evergreen,Mature,Sandy loam,Dry,,,,,,15,1544,,,,KOH trap,15,1,Comparison,1299,,,,,,,,525,774,0.4,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,4,30,,,,133,0.09,0,,,,2.06,2.45,2.45,2.45,2.45,,,,,,,,,,,,,,,,,,,,,,7695,,845,,,,,,-0.38,-0.45,34.25,132.25,1455.51,16.09,1971.3,15.21,1980,,,
2472,00:00.0,352,Nakane,,,BBL,Japan,Hiroshima,Mt. Takao,1981.5,1,34.4,132.52,,None,,,40,Pinus densiflora,Temperate,Forest,Natural,Evergreen,Aggrading,Sandy loam,Dry,,,,,,15,1544,,,,Alkali absorption,15,1,,987,,,,,,,290,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,2,22,,,0,147,0.072,0,,,Mixed,1.91,2.05,2.05,2.05,2.05,,,,,,,,,,,,,,,308,,,,,,6870,5620,1250,730,520,,,,,-0.4,0.48,34.25,132.75,1455.51,16.09,1471.3,15.86,1982,259.858,0.471,0.061
2473,00:00.0,352,Nakane,,,BBL,Japan,Hiroshima,Mt. Takao,1980,1,34.4,132.52,,None,,,80,Pinus densiflora,Temperate,Forest,Natural,Evergreen,Mature,Sandy loam,Dry,,,,,,15,1544,,,,Alkali absorption,15,1,,1255,,,,,,,353,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,2,22,,,0,120,0.097,0,,,Mixed,2,2.64,2.64,2.64,2.64,,,,,,,,,,,,,,,354.5,,,,,,9380,7690,1690,1110,580,,,,,-0.4,0.48,34.25,132.75,1455.51,16.09,1971.3,15.21,1980,259.858,0.471,1.985
2433,00:00.0,390,Luken,,,BBL,USA,Alaska,Bog Forest,1983,1,64.87,-148,,None,,,,Picea mariana,Boreal,Forest,Natural,Evergreen,Mature,Organic,Wet,,,,,,-3.5,280,,,,Soda lime,14,0.25,,144,,,,,,,,,,,,,,,,,,,,Other,Positive,g CO2/m2/day,,,,,,3.47,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0,64.75,-147.75,297.18,-2.31,239.9,-1.85,1983,74.558,1.204,-0.768
1655,00:00.0,395,Mathes,,Q01,BBL,Germany,,Bremen rubble dump,1984,2.5,53.17,8.08,,None,,,3,Grasses (mix),Temperate,Agriculture,Managed,Deciduous,Aggrading,,Dry,,13,,,,8.5,954,,,,IRGA,14,1,,200,,,,,,,,,,,,,,,,,,,,"Linear, R=a+b(T^2)",Positive,mg CO2/m2/hr,0,21,,,5,11,0.42,,,,None,0.31,24.67,7.84,3.88,9.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Estimated from figure in text; heavily disturbed site,-0.17,-0.08,53.25,8.25,713.27,9.12,721.1,8.34,1984,122.626,0.837,0.064
1656,00:00.0,395,Mathes,,Q01,BBL,Germany,,Bremen rubble dump,1984,2.5,53.17,8.08,,None,,,3,Lotus corniculatus,Temperate,Agriculture,Managed,Deciduous,Aggrading,,Dry,,13,,,,8.5,954,,,,IRGA,14,1,,250,,,,,,,,,,,,,,,,,,,,"Linear, R=a+b(T^2)",Positive,mg CO2/m2/hr,0,21,,,5,31,0.58,,,,None,0.37,3.63,4.18,3.17,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Estimated from figure in text; heavily disturbed site,-0.17,-0.08,53.25,8.25,713.27,9.12,721.1,8.34,1984,122.626,0.837,0.064
821,00:00.0,408,Tsutsumi,,,BBL,Japan,,Mount Hiei,1975.5,1,35.08,135.83,450,None,,,27,Chamaecyparis obtusa,Temperate,Forest,Unmanaged,Evergreen,Mature,Sandy loam,Dry,,,,,,12.1,1666,,,,Soda lime,15,1,,536,94,,,,,,,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,-2,25,,0.91,-30,86.133,0.067,0,,,,1.06,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,0.17,35.25,135.75,1951.65,12.35,2183.4,11.63,1976,206.588,0.535,1.122
2474,00:00.0,447,Rajvanshi,,,BBL,India,,Kurukshetra,1979.5,1.5,29.97,76.18,,None,,,,Dalbergia sissoo,Tropical,Forest,Natural,Deciduous,Mature,,Dry,,,,,,24.5,661,,,,Alkali absorption,7,1,,683,,,4.08,225,0.71,350,,,,,,,,,,,,,,"Linear, R=a+b(T-c)",Mixed,mg CO2/m2/hr,10,38,,0.29,,-174.92,21.66,0,,,Positive,,,,,,,,,,,,,,,,,,,,219,,,,,,,,,,,,,,,0.03,-0.18,29.75,76.25,507.49,24.45,483.4,24.88,1980,164.558,0.43,-0.146
2529,00:00.0,560,Naganawa,,Q01,BBL,Japan,Shimane,Shimane University Experimental Farm,1987,1,35.5,133.1,,None,,,1,Mix,Temperate,Agriculture,Managed,Deciduous,Aggrading,Sandy loam,Dry,,,,,,,,,,,IRGA,30,0.75,,1415,,,,,,,,,,,,,,,,,,,,"Exponential (log1), log(R)=a+b(T-c)",Positive,mmol CO2/m2/hr,4,40,,0.76,,0.311,0.034,0,,,Negative,1.24,,2.2,2.2,,2.2,4,40,,,,,,,,,,,,,,,,,,,,,,,,,,Rs estimated from figure,0.5,-0.1,35.75,133.25,2293.48,15.07,2021.4,15.44,1987,,,
1660,00:00.0,680,Bridgham,,,BBL,USA,North Carolina,Croatan National Forest-short pocosin,1990,1,34.92,-77.08,,None,,,,Pinus spp.,Temperate,Wetland,Natural,Deciduous,Mature,"Dysic, thermic Medisaprists",Wet,,,,,,16.8,1349,,,,Alkali absorption,30,0.83,,672,48,,,,,,,,,,,,,,,,,,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,mol CO2/m2/day,,,,0.67,10,-2.96,0.057,0,,,,1.06,,1.77,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,34.75,-77.25,1374.37,16.52,1103.8,18.6,1990,202.641,0.677,-1.335
1661,00:00.0,680,Bridgham,,,BBL,USA,North Carolina,Croatan National Forest-tall pocosin,1990,1,34.92,-77.08,,None,,,,Pinus spp.,Temperate,Wetland,Natural,Deciduous,Mature,"Dysic, thermic Medisaprists",Wet,,,,,,16.8,1349,,,,Alkali absorption,30,0.83,,794,64,,,,,,,,,,,,,,,,,,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,mol CO2/m2/day,,,,0.78,10,-3.22,0.084,0,,,,1.08,,2.33,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,34.75,-77.25,1374.37,16.52,1103.8,18.6,1990,202.641,0.677,-1.335
1662,00:00.0,680,Bridgham,,,BBL,USA,North Carolina,Croatan National Forest-gum swamp,1990,1,34.92,-77.08,,None,,,,Eucalyptus spp.,Temperate,Wetland,Natural,Deciduous,Mature,"Dysic, thermic Medisaprists",Wet,,,,,,16.8,1349,,,,Alkali absorption,30,0.83,,1086,118,,,,,,,,,,,,,,,,,,,Other,Positive,mol CO2/m2/day,,,,0.86,10,-3.85,0.121,-0.002,0,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,34.75,-77.25,1374.37,16.52,1103.8,18.6,1990,202.641,0.677,-1.335
247,00:00.0,900,Toland,,,BBL,USA,Michigan,Manistee National Forest,1992,1,44.8,-85.8,375,None,,,,Acer saccharum-Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Haplorthod,Dry,,,,,,7.2,810,,,,Soda lime,30,0.67,,487,33,,,,,,,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,g C/m2/day,3,16,28,0.43,10,0.938,0.069,0,,,,1.87,1.99,1.99,1.99,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,-0.2,44.75,-85.75,756.15,6.93,624.8,6.56,1992,136.059,0.958,-0.965
249,00:00.0,900,Toland,,,BBL,USA,Michigan,Manistee National Forest,1992,1,44.8,-85.8,375,None,,,,Acer saccharum-Tilia americana,Temperate,Forest,Natural,Deciduous,Mature,Typic Haplorthod,Dry,,,,,,7.2,810,,,,Soda lime,30,0.67,,469,43,,,,,,,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,g C/m2/day,3,16,28,0.43,10,0.938,0.069,0,,,,1.87,1.99,1.99,1.99,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,-0.2,44.75,-85.75,756.15,6.93,624.8,6.56,1992,136.059,0.958,-0.965
33,00:00.0,951,Haynes,,Q10,BBL,USA,Wisconsin,Haynes1,1991,1,46.17,-89.67,,None,,,31,Pinus resinosa,Temperate,Forest,Managed,Evergreen,Mature,Haplorthod (loamy fine sand),Dry,,,,,,4.2,586,,,,Soda lime,30,0.6,Exclusion,541,30,29,,,,,,362,496,0.42,,,,,,,,,,"Exponential (other), R=a 10^(b(T-c))",Positive,g CO2/m2/hr,,,,0.8,10,0.158,0.023,0,,,,1.68,1.7,1.7,1.7,1.7,1.94,0,20,,,,,,,,,,215.5,758,146,205.2,351.2,,,42.4,,,,,431,,,,Model units corrected from mg CO2/m2/hr,-0.17,-0.33,46.25,-89.75,800.17,4.33,1063.3,4.86,1991,140.295,0.888,1.876
35,00:00.0,951,Haynes,,Q10,BBL,USA,Wisconsin,Haynes1,1992,1,46.17,-89.67,,None,,,31,Pinus resinosa,Temperate,Forest,Managed,Evergreen,Mature,Haplorthod (loamy fine sand),Dry,,,,,,4.2,586,,,,Soda lime,30,0.6,Exclusion,483,20,29,,,,,,362,496,0.42,,,,,,,,,,"Exponential (other), R=a 10^(b(T-c))",Positive,g CO2/m2/hr,,,,0.8,10,0.158,0.023,0,,,,1.68,1.7,1.7,1.7,1.7,1.94,0,20,,,,,,,,,,215.5,618,151,200.2,351.2,,,42.4,,,,,431,,,,Model units corrected from mg CO2/m2/hr,-0.17,-0.33,46.25,-89.75,800.17,4.33,786,4.31,1992,140.295,0.888,-0.101
37,00:00.0,951,Haynes,,Q10,BBL,USA,Wisconsin,Haynes1,1993,1,46.17,-89.67,,None,,,31,Pinus resinosa,Temperate,Forest,Managed,Evergreen,Mature,Haplorthod (loamy fine sand),Dry,,,,,,4.2,586,,,,Soda lime,30,0.6,Exclusion,505,20,29,,,,,,362,496,0.42,,,,,,,,,,"Exponential (other), R=a 10^(b(T-c))",Positive,g CO2/m2/hr,,,,0.8,10,0.158,0.023,0,,,,1.68,1.7,1.7,1.7,1.7,1.94,0,20,,,,,,,,,,215.5,791,110,241.2,351.2,,,42.4,,,,,431,,,,Model units corrected from mg CO2/m2/hr,-0.17,-0.33,46.25,-89.75,800.17,4.33,780.1,3.73,1993,140.295,0.888,-0.143
