Record_number,Entry_date,Study_number,Author,Duplicate_record,Quality_flag,Contributor,Country,Region,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,Stage,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_interann_err,Rs_max,Rs_maxday,Rs_min,Rs_minday,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_seasonal,RC_season,Model_type,Temp_effect,Model_output_units,Model_temp_min,Model_temp_max,Model_N,Model_R2,T_depth,Model_paramA,Model_paramB,Model_paramC,Model_paramD,Model_paramE,WC_effect,R10,Q10_0_10,Q10_5_15,Q10_10_20,Q10_0_20,Q10_other1,Q10_other1_temp_min,Q10_other1_temp_max,Q10_other2,Q10_other2_temp_min,Q10_other2_temp_max,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes,Lat_Adj,Long_Adj,Lat_Round,Long_Round,MAP_Del,MAT_Del,PAnnual_Del,TAnnual_Del,Year,PRECIP_SD,TAIR_SD,SPI,Study_TS_Annual,TAnnual_Del
559,00:00.0,1292,Davidson,NA,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-NW250,1995.5,1,42.53,-72.18,340,None,,NA,60,Acer rubrum-Sphagnum,Temperate,Forest,Natural,Deciduous,Mature,Organic,Wet,NA,NA,NA,NA,NA,8.5,1050,NA,NA,NA,IRGA,30,0.42,,810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,2,20,NA,0.8,10,21.13,0.137,0,NA,NA,Mixed,1.93,4.5,4.5,4.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.47,0.18,42.75,-72.25,1077.37,7.47,1331,6.72,1996,167.449,0.73,1.515,8.062,6.72
560,00:00.0,1292,Davidson,NA,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-SW20,1995.5,1,42.53,-72.18,340,None,,NA,60,Tsuga canadensis,Temperate,Forest,Natural,Evergreen,Mature,Whitman fsl,Wet,NA,NA,NA,NA,NA,8.5,1050,NA,NA,NA,IRGA,30,0.42,,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,2,20,NA,0.8,10,21.13,0.137,0,NA,NA,Mixed,1.93,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.47,0.18,42.75,-72.25,1077.37,7.47,1331,6.72,1996,167.449,0.73,1.515,8.062,6.72
561,00:00.0,1292,Davidson,NA,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-SW100,1995.5,1,42.53,-72.18,340,None,,NA,60,Mixed hardwood,Temperate,Forest,Natural,Deciduous,Mature,Scituate fsl,Dry,NA,NA,NA,NA,NA,8.5,1050,NA,NA,NA,IRGA,30,0.42,,830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,2,20,NA,0.8,10,21.13,0.137,0,NA,NA,Mixed,1.93,4.1,4.1,4.1,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.47,0.18,42.75,-72.25,1077.37,7.47,1331,6.72,1996,167.449,0.73,1.515,8.062,6.72
562,00:00.0,1292,Davidson,NA,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-SW200,1995.5,1,42.53,-72.18,340,None,,NA,60,Mixed hardwood,Temperate,Forest,Natural,Deciduous,Mature,Canton fsl,Dry,NA,NA,NA,NA,NA,8.5,1050,NA,NA,NA,IRGA,30,0.42,,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,2,20,NA,0.8,10,21.13,0.137,0,NA,NA,Mixed,1.93,3.4,3.4,3.4,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.47,0.18,42.75,-72.25,1077.37,7.47,1331,6.72,1996,167.449,0.73,1.515,8.062,6.72
1606,00:00.0,1647,McDowell,NA,,BBL,USA,Idaho,University of Idaho Experimental Forest,1997,1,46.08,-116.08,1100,None,,NA,70,Pinus ponderosa;Pseudotsuga menziesii; Larix occidentalis; Abies grandis; Betula papyrifera,Temperate,Forest,Managed,Evergreen,Mature,Silt loam,Dry,NA,NA,NA,NA,NA,NA,840,NA,NA,NA,IRGA,30,0.33,,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA,,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-3,17,NA,0.87,10,0.63,0.25,0,NA,NA,,3.13,4.97,2.33,1.8,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-0.08,0.08,46.25,-116.25,630.87,7.99,774.8,8.23,1997,102.187,0.545,1.408,7.152,8.23
150,00:00.0,1665,Ohashi,NA,,BBL,Japan,,Kyushu Forest Research and Instruction Station,1997,2,32.82,130.73,NA,None,,NA,10,Cryptomeria japonica,Temperate,Forest,Managed,Evergreen,Mature,Humid andosol (Kuroboku),Dry,NA,NA,NA,NA,NA,16.2,1970,NA,NA,NA,IRGA,30,1,Comparison,618,NA,NA,NA,NA,NA,NA,NA,352,266,0.57,NA,NA,NA,NA,NA,NA,NA,NA,,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,mg CO2/m2/hr,4,32,NA,0.92,0,4.38,0.062,0,NA,NA,,0.94,1.9,1.9,1.9,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451,NA,NA,NA,,0.18,0.27,32.75,130.75,1878.07,16.74,1914.1,16.85,1997,329.079,0.54,0.109,16.646,16.85
2606,00:00.0,1700,Sundaravalli,NA,,BBL,India,,Madurai,1993.5,1,10,78.17,NA,None,None,NA,NA,Heteropogon contortus,Tropical,Grassland,Managed,Deciduous,Mature,Sandy loam (reddish-brown laterite),Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,1061,Alkali absorption,15,1,,310,NA,NA,1.16,350,0.42,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Linear, R=a+b(T-c)",Negative,mg CO2/m2/hr,NA,NA,NA,NA,-200,264.52,-4.62,0,NA,NA,Positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,809,517.8,291.2,NA,NA,112.3,265.3,377.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,-0.17,10.25,78.25,948.5,27.79,926.3,27.63,1994,187.18,0.329,-0.119,28.998,27.63
826,00:00.0,1871,Pilegaard,NA,Q02,BBL,Denmark,,Sorø EUROFLUX,1996.5,1,55.49,11.65,40,None,,NA,80,Fagus sylvatica,Temperate,Forest,Natural,Deciduous,Mature,,Dry,NA,NA,NA,NA,NA,8,600,NA,8.1,510,IRGA,0.1,0.5,,368,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,0,12,5521,NA,2,0.2,6,0,NA,NA,Negative,1.2,6,6,NA,NA,NA,NA,NA,NA,NA,NA,1271,1048,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,54.03539364,NA,NA,NA,NA,NA,NA,NA,NA,MAT and MAP from #1800 Janssens,-0.49,0.35,55.25,11.75,578.76,8.1,403.2,8.13,1997,95.517,0.813,-1.838,7.987,8.13
827,00:00.0,1871,Pilegaard,NA,Q02,BBL,Denmark,,Sorø EUROFLUX,1997.5,1,55.49,11.65,40,None,,NA,80,Fagus sylvatica,Temperate,Forest,Natural,Deciduous,Mature,,Dry,NA,NA,NA,NA,NA,8,600,NA,8.1,510,IRGA,0.1,0.5,,457,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,0,12,5521,NA,2,0.2,6,0,NA,NA,Negative,1.2,6,6,NA,NA,NA,NA,NA,NA,NA,NA,1335,1191,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,54.03539364,NA,NA,NA,NA,NA,NA,NA,NA,MAT and MAP from #1800 Janssens,-0.49,0.35,55.25,11.75,578.76,8.1,507.2,7.79,1998,95.517,0.813,-0.749,7.987,7.79
187,00:00.0,1891,Savage,NA,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-WD1,1995,1,42.53,-72.18,340,None,,NA,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Dry,NA,NA,NA,NA,NA,8.5,1050,NA,NA,NA,IRGA,10,1,,750,NA,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,NA,0.67,10,85338.13,346.8,1,232.5,NA,Positive,2.1,5.4,3.9,3.1,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.47,0.18,42.75,-72.25,1077.37,7.47,1075.7,6.86,1995,167.449,0.73,-0.01,7.93,6.86
188,00:00.0,1891,Savage,NA,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-WD2,1995,1,42.53,-72.18,340,None,,NA,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Dry,NA,NA,NA,NA,NA,8.5,1050,NA,NA,NA,IRGA,10,1,,710,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,NA,0.67,10,81278.54,346.8,1,232.5,NA,Positive,2,5.4,3.9,3.1,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.47,0.18,42.75,-72.25,1077.37,7.47,1075.7,6.86,1995,167.449,0.73,-0.01,7.93,6.86
189,00:00.0,1891,Savage,NA,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-MD1,1995,1,42.53,-72.18,340,None,,NA,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Medium,NA,NA,NA,NA,NA,8.5,1050,NA,NA,NA,IRGA,10,1,,701,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,NA,0.67,10,78105.02,346.8,1,232.5,NA,Positive,1.92,5.4,3.9,3.1,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.47,0.18,42.75,-72.25,1077.37,7.47,1075.7,6.86,1995,167.449,0.73,-0.01,7.93,6.86
190,00:00.0,1891,Savage,NA,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-MD2,1995,1,42.53,-72.18,340,None,,NA,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Medium,NA,NA,NA,NA,NA,8.5,1050,NA,NA,NA,IRGA,10,1,,670,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,NA,0.67,10,71689.5,346.8,1,232.5,NA,Positive,1.76,5.4,3.9,3.1,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.47,0.18,42.75,-72.25,1077.37,7.47,1075.7,6.86,1995,167.449,0.73,-0.01,7.93,6.86
191,00:00.0,1891,Savage,NA,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-VPD,1995,1,42.53,-72.18,340,None,,NA,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Wet,NA,NA,NA,NA,NA,8.5,1050,NA,NA,NA,IRGA,10,1,,550,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,NA,0.64,10,49086.76,338.2,1,232.9,NA,Negative,1.36,5.3,3.9,3.1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.47,0.18,42.75,-72.25,1077.37,7.47,1075.7,6.86,1995,167.449,0.73,-0.01,7.93,6.86
192,00:00.0,1891,Savage,NA,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-WD1,1996,1,42.53,-72.18,340,None,,NA,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Dry,NA,NA,NA,NA,NA,8.5,1050,NA,NA,NA,IRGA,10,1,,790,NA,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,NA,0.67,10,85338.13,346.8,1,232.5,NA,Positive,2.1,5.4,3.9,3.1,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.47,0.18,42.75,-72.25,1077.37,7.47,1331,6.72,1996,167.449,0.73,1.515,7.86,6.72
193,00:00.0,1891,Savage,NA,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-WD2,1996,1,42.53,-72.18,340,None,,NA,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Dry,NA,NA,NA,NA,NA,8.5,1050,NA,NA,NA,IRGA,10,1,,790,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,NA,0.67,10,81278.54,346.8,1,232.5,NA,Positive,2,5.4,3.9,3.1,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.47,0.18,42.75,-72.25,1077.37,7.47,1331,6.72,1996,167.449,0.73,1.515,7.86,6.72
194,00:00.0,1891,Savage,NA,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-MD1,1996,1,42.53,-72.18,340,None,,NA,60,Acer rubrum; Quercus rubra,Temperate,Forest,Natural,Deciduous,Mature,Typic Dystrochrept,Medium,NA,NA,NA,NA,NA,8.5,1050,NA,NA,NA,IRGA,10,1,,750,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,mg C/m2/hr,0,25,NA,0.67,10,78105.02,346.8,1,232.5,NA,Positive,1.92,5.4,3.9,3.1,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.47,0.18,42.75,-72.25,1077.37,7.47,1331,6.72,1996,167.449,0.73,1.515,7.86,6.72
